code,system
40678,gprdproduct
34553,gprdproduct
41543,gprdproduct
45583,gprdproduct
493,gprdproduct
45265,gprdproduct
1294,gprdproduct
33094,gprdproduct
119,gprdproduct
40891,gprdproduct
19193,gprdproduct
19216,gprdproduct
34342,gprdproduct
34601,gprdproduct
5496,gprdproduct
582,gprdproduct
3715,gprdproduct
726,gprdproduct
591,gprdproduct
46922,gprdproduct
4875,gprdproduct
4637,gprdproduct
3470,gprdproduct
3924,gprdproduct
4449,gprdproduct
8086,gprdproduct
5618,gprdproduct
4802,gprdproduct
755,gprdproduct
36649,gprdproduct
2348,gprdproduct
36780,gprdproduct
16201,gprdproduct
5337,gprdproduct
37428,gprdproduct
9019,gprdproduct
2816,gprdproduct
5815,gprdproduct
2117,gprdproduct
36740,gprdproduct
7056,gprdproduct
41651,gprdproduct
445,gprdproduct
25047,gprdproduct
26237,gprdproduct
6008,gprdproduct
4111,gprdproduct
43547,gprdproduct
41652,gprdproduct
1455,gprdproduct
3923,gprdproduct
4694,gprdproduct
2345,gprdproduct
8076,gprdproduct
12518,gprdproduct
2346,gprdproduct
2347,gprdproduct
8077,gprdproduct
20369,gprdproduct
35603,gprdproduct
25551,gprdproduct
25487,gprdproduct
40256,gprdproduct
34715,gprdproduct
41721,gprdproduct
34625,gprdproduct
47807,gprdproduct
35272,gprdproduct
48150,gprdproduct
23459,gprdproduct
8863,gprdproduct
26693,gprdproduct
1292,gprdproduct
8198,gprdproduct
5183,gprdproduct
19823,gprdproduct
13610,gprdproduct
26238,gprdproduct
7549,gprdproduct
7547,gprdproduct
10088,gprdproduct
46526,gprdproduct
45040,gprdproduct
43695,gprdproduct
45342,gprdproduct
45328,gprdproduct
36023,gprdproduct
37243,gprdproduct
46066,gprdproduct
38461,gprdproduct
11394,gprdproduct
16198,gprdproduct
